"","Name","t90","E_P_Over_S","P_collapsar","P_merger"
"12",101219686,51.009,20706768.6136876,0.356078124703383,0.643921875296617
"13",91127976,8.701,1074371.65323942,0.843244337574547,0.156755662425453
"14",171010792,107.266,217546.895494556,0.596698664734838,0.403301335265162
"15",180720598,48.897,2130574.14665193,0.706312098516832,0.293687901483168
"16",130215063,143.746,4059593.71468547,0.529981472344462,0.470018527655538
"17",130427324,138.242,335088.302193339,0.483015792652983,0.516984207347017
"18",140606133,22.784,76076585.7127805,0.189251116469317,0.810748883530683
"19",90618353,112.386,555188.675731049,0.542282334055085,0.457717665944915
"20",120304248,5.376,131322343.681679,0.429967557439307,0.570032442560693
"21",150101641,0.08,525460540.131883,0.896492839147454,0.103507160852546
"22",160624477,0.384,2939415332.85758,0.649490295141631,0.350509704858369
"23",120403857,4.288,128690619262.227,0.212303398251851,0.787696601748149
"24",120227725,17.408,5869520.2514921,0.691227733711218,0.308772266288782
"25",141205018,13.056,140269540.265735,0.385574539143285,0.614425460856715
"26",180630467,12.032,25722469.8795181,0.841473045696801,0.158526954303199
"27",170116238,9.216,161529961.713116,0.913592284042358,0.0864077159576422
"28",91026550,8.96,348075190.701053,0.744081592478643,0.255918407521357
"29",150312403,0.32,2146366814.09616,0.951970349319008,0.0480296506809923
"30",110520302,12.288,281443421.557346,0.620157615792258,0.379842384207742
"31",121216419,9.216,1523476352.49201,0.891003931308943,0.108996068691057
"32",101227195,95.488,66296111.6940655,0.567378953353929,0.432621046646071
"33",160326062,19.456,169261069.114471,0.555443989249472,0.444556010750528
"34",101116481,0.576,1436968950.22178,0.221529709775646,0.778470290224355
"35",170130697,29.184,234325803.517283,0.8258517300235,0.1741482699765
"36",110205027,5.376,843506890.592458,0.721836990225388,0.278163009774612
"37",110825265,48.128,59281465.1874522,0.7748601679652,0.2251398320348
"38",160919613,62.465,13569203.0690167,0.544561844780156,0.455438155219844
"39",120830212,16.064,28588255.6453008,0.735561260726112,0.264438739273888
"40",140323433,111.426,4417194.05378732,0.956826229651534,0.0431737703484664
"41",100325246,8.192,33663200.8995502,0.703120112404551,0.296879887595449
"42",100507577,44.033,13783840.4510388,0.890848262731862,0.109151737268138
"43",80714425,40.192,4238245768.78549,0.241863521216782,0.758136478783218
"44",171206122,15.36,405393075.356416,0.875053450758202,0.124946549241798
"45",140518709,0.704,1151418022.23215,0.313012747274448,0.686987252725552
"46",130623488,22.272,14891795.4960438,0.302486146811728,0.697513853188272
"47",141004150,9.472,12197378.057712,0.834624894193159,0.165375105806841
"48",101024486,20.224,29652334.5952767,0.430621859841441,0.569378140158558
