number,name,Fermi name,Redshift,stage 2,stage 3,stage 2 start,stage 3 start,average decay rate after 200s,average decay rate after rs 200s,average decay rate after data available,plaw_index,nuFnu0,nuFnu1,,,
1,GRB220521A,,,Y,M,141,923,-1.260304,,0,2.2,5.22E-07,0,,,
2,GRB220101A,,,Y,Y,109,2089,-1.134057,,0,1.62,0.001521,0,,,
3,GRB210104A,,,M,Y,149,2612,-0.922049,,0,1.91,0.000007,0,,,
4,GRB190829A,,,M,Y,158,15800,-1.193508,,0,2.02,0.000006,2.49E-06,,number of 2,number of 3
5,GRB181010A,,,Y,Y,183,13200,-0.849831,,0,1.8,6.69E-06,1.39E-07,,0.719298246,0.912280702
6,GRB180728A,,,Y,Y,1738,6053,0,,-0.990711,1.64,0.000016,0,,,
7,GRB180720B,180720598,0.654,M,Y,1042,2089,-1.163361,-1.184502,0,1.78,0.000115,0.000078,,number of ~2,number of ~3
8,GRB180620B,180620660,1.1175,Y,Y,493,7278,-0.638454,-0.715332,0,1.92,2.24E-06,3.88E-07,,0.245614035,0.035087719
9,GRB171222A,171222684,2.409,Y,Y,2312,24000,-1.453924,-0.379467,0,2.3,0,1.17E-08,,,
10,GRB170903A,170903534,0.886,Y,Y,4708,9572,0,-0.968846,-0.968846,2.12,1.07E-07,8.63E-08,,,
11,GRB170705A,170705115,2.01,Y,Y,695,20600,-1.07024,-0.845148,0,1.86,3.10E-06,3.35E-07,,total stage 2s,total stage 3s
12,GRB170607A,170607971,0.557,Y,Y,780,14000,-0.83239,-0.720196,0,2.06,1.88E-06,6.88E-08,,0.964912281,0.947368421
13,GRB170113A,170113420,1.968,Y,Y,256,4603,-0.871921,-1.034027,0,1.76,0.000003,1.35E-06,,,
14,GRB161214B,161214722,1.5,M,Y,984,16000,-0.697982,-0.621787,0,2.05,0,3.32E-08,,# phase 2s,
15,GRB161117A,161117066,1.549,M,Y,568,9120,-1.067677,-0.845303,0,1.98,1.07E-06,0,,55,
16,GRB161014A,161014522,2.823,Y,Y,127,1968,-1.217083,-2.234245,-2.234245,1.82,0.000006,0,,,
17,GRB161001A,161001045,0.891,M,Y,71,2931,-1.258444,-1.325967,0,2.13,0.000007,0,,,
18,GRB160804A,160804065,0.736,Y,Y,1156,10300,-1.938626,-0.830271,0,1.9,1.73E-07,1.43E-07,,,
19,GRB151111A,151111356,3.5,Y,Y,79,169,-1.50745,-0.746997,0,2.1,1.04E-04,3.66E-05,,,
20,GRB151027A,151027166,0.81,Y,Y,564,1968,-0.838079,-0.853542,0,1.97,0.000007,0,,,
21,GRB150403A,150403913,2.06,Y,Y,81,4385,-1.113955,-1.234013,0,1.71,0.00012,0,,,
22,GRB150101B,150101641,0.1343,N,N,142463,0,0,-1.07,0.343279,2.3,0,3.62E-09,,,
23,GRB141220A,141220252,1.32,Y,Y,108,207,-1.451603,-1.451603,-1.451603,1.77,0.000005,0,,,
