GRBname , Trig_ID , Trig_time_met ,       Trig_time_UTC        ,  RA_ground   ,  DEC_ground   , Image_position_err ,   Image_SNR  ,     T90      ,   T90_err    ,     T50      ,   T50_err    , Evt_start_sincetrig , Evt_stop_sincetrig , pcode  , Trigger_method , XRT_detection , comment
GRB230510A,1167973,, 2023-05-10T12:06:28 ,318.138,34.43,,,178.4,,,,,,,, Yes ,
GRB230506C,1167288,, 2023-05-06T17:09:19 ,134.371,45.131,,,31,,,,,,,, Yes ,
GRB230506B,1167266,, 2023-05-06T12:45:18 ,326.986,44.514,,,61.54,,,,,,,, Yes ,
GRB230427A,1165948,, 2023-04-27T10:31:52 ,153.339,48.231,,,4,,,,,,,, Yes ,
GRB230423A,1165354,, 2023-04-23T19:07:55 ,122.618,-21.901,,,23.6,,,,,,,, Yes ,
GRB230420A,1164980,, 2023-04-20T10:19:01 ,161.04,32.111,,,111.75,,,,,,,, Yes ,
GRB230414B,1164180,, 2023-04-14T16:14:21 ,181.052,53.179,,,25.98,,,,,,,, Yes ,
GRB230409B,1163401,, 2023-04-09T04:56:57 ,329.516,52.832,,,9.79,,,,,,,, Yes ,
GRB230405B,1163119,, 2023-04-05T19:58:03 ,271.467,-47.07,,,10,,,,,,,, Yes ,
GRB230328B,1162001,, 2023-03-28T14:54:48 ,291.037,80.013,,,19.23,,,,,,,, Yes ,
GRB230325A,1161390,, 2023-03-25T03:15:35 ,296.854,-46.067,,,38.05,,,,,,,, Yes ,
GRB230322B,1161127,, 2023-03-22T21:10:37 ,16.55,-47.709,,,11.61,,,,,,,, Yes ,
GRB230228A,1156572,, 2023-02-28T05:50:50 ,18.397,44.495,,,2.18,,,,,,,, Yes ,
GRB230217A,1154967,, 2023-02-17T21:53:10 ,280.759,-28.84,,,1.3,,,,,,,, Yes ,
GRB230216A,1154815,, 2023-02-16T14:48:34 ,113.966,-7.993,,,91.2,,,,,,,, Yes ,
GRB230205A,1152764,, 2023-02-05T10:29:51 ,202.057,46.686,,,2.3,,,,,,,, Yes ,
