GRBname , Trig_ID , 15_25kev , 15_25kev_low , 15_25kev_hi , 25_50kev , 25_50kev_low , 25_50kev_hi , 50_100kev , 50_100kev_low , 50_100kev_hi , 100_150kev , 100_150kev_low , 100_150kev_hi , 100_350kev , 100_350kev_low , 100_350kev_hi , 15_150kev , 15_150kev_low , 15_150kev_hi , 15_350kev , 15_350kev_low , 15_350kev_hi , Exposure_time , Spectrum_start , Spectrum_stop , comment
GRB220715B   ,1116441,1.36942E-07,1.21084E-07,1.53361E-07,2.74565E-07,2.55215E-07,2.93803E-07,4.28594E-07,3.94753E-07,4.62334E-07,3.54859E-07,3.11915E-07,4.00051E-07,1.47444E-06,1.23241E-06,1.74898E-06,1.19497E-06,1.11152E-06,1.27896E-06,2.31449E-06,2.04756E-06,2.60817E-06,42.32,-0.148,42.172,  
GRB220714B   ,1116221,9.10445E-07,8.5912E-07,9.62972E-07,1.30474E-06,1.26379E-06,1.34566E-06,1.38952E-06,1.32356E-06,1.45564E-06,8.54248E-07,7.88359E-07,9.22813E-07,2.74425E-06,2.46538E-06,3.04561E-06,4.45896E-06,4.31304E-06,4.60547E-06,6.34898E-06,6.02301E-06,6.69135E-06,93.55,-47.8,45.748,  
GRB220711B   ,1115766,9.97396E-07,9.23438E-07,1.07309E-06,1.58587E-06,1.5146E-06,1.65698E-06,1.90229E-06,1.78755E-06,2.01696E-06,1.28413E-06,1.16358E-06,1.4097E-06,4.45223E-06,3.90128E-06,5.05415E-06,5.76963E-06,5.49968E-06,6.04071E-06,8.93774E-06,8.29216E-06,9.62116E-06,117.2,-37.496,79.688,  
GRB220708A   ,1115156,3.19632E-08,2.55882E-08,3.84707E-08,3.78687E-08,3.1291E-08,4.4321E-08,3.23795E-08,2.23121E-08,4.31132E-08,1.67182E-08,9.64118E-09,2.57401E-08,4.70826E-08,2.39872E-08,8.13411E-08,1.18927E-07,9.51963E-08,1.43665E-07,1.49286E-07,1.11066E-07,1.96056E-07,4,-1.296,2.704,  
GRB220706A   ,1114937,2.36483E-07,2.03662E-07,2.70352E-07,3.71543E-07,3.38922E-07,4.04203E-07,4.39632E-07,3.76851E-07,5.0284E-07,2.93609E-07,2.31073E-07,3.63103E-07,1.00893E-06,7.37547E-07,1.34261E-06,1.34128E-06,1.19919E-06,1.48611E-06,2.0566E-06,1.72266E-06,2.44123E-06,107.1,-71.04,36.036,  
GRB220701A   ,1114034,4.00031E-08,2.8041E-08,5.29205E-08,7.25996E-08,5.76373E-08,8.74388E-08,1.01243E-07,7.63104E-08,1.26178E-07,7.68465E-08,5.06249E-08,1.06874E-07,2.94886E-07,1.70571E-07,4.66384E-07,2.90686E-07,2.28883E-07,3.53333E-07,5.08855E-07,3.5726E-07,6.96537E-07,14.84,-1.396,13.44,  
GRB220623A   ,1111672,3.9509E-07,3.67186E-07,4.23765E-07,7.99605E-07,7.67106E-07,8.31927E-07,1.26141E-06,1.20611E-06,1.31651E-06,1.0529E-06,9.78421E-07,1.12955E-06,4.40804E-06,3.97105E-06,4.87905E-06,3.50902E-06,3.37385E-06,3.64465E-06,6.86413E-06,6.39566E-06,7.36115E-06,77.64,-3.844,73.792,  
GRB220618A   ,1110821,4.52537E-07,3.83287E-07,5.24643E-07,7.87524E-07,7.08213E-07,8.66451E-07,1.04702E-06,9.17876E-07,1.17564E-06,7.65797E-07,6.2776E-07,9.13301E-07,2.84403E-06,2.1828E-06,3.61971E-06,3.05284E-06,2.73555E-06,3.37197E-06,5.13126E-06,4.34574E-06,6.00252E-06,148.4,-11.44,136.976,  
GRB220611A   ,1110090,1.31359E-07,1.02816E-07,1.60676E-07,1.92473E-07,1.61324E-07,2.23542E-07,2.10266E-07,1.54953E-07,2.67565E-07,1.31899E-07,8.38784E-08,1.90213E-07,4.30566E-07,2.43114E-07,6.96819E-07,6.65978E-07,5.36142E-07,8.0035E-07,9.64628E-07,7.06204E-07,1.28591E-06,61,0.52,61.52,  
GRB220521A   ,1107466,1.73075E-07,1.47633E-07,1.99611E-07,2.39764E-07,2.17387E-07,2.62152E-07,2.45586E-07,2.10404E-07,2.80979E-07,1.46404E-07,1.14975E-07,1.81248E-07,4.59075E-07,3.35857E-07,6.09753E-07,8.0483E-07,7.23476E-07,8.87103E-07,1.11749E-06,9.58063E-07,1.29636E-06,16.4,-0.228,16.168,  
GRB220518A   ,1107050,9.77706E-08,7.95057E-08,1.16777E-07,1.57441E-07,1.37901E-07,1.76925E-07,1.9161E-07,1.58361E-07,2.24806E-07,1.30818E-07,9.79509E-08,1.67332E-07,4.57908E-07,3.13963E-07,6.38849E-07,5.77641E-07,4.98469E-07,6.5767E-07,9.04729E-07,7.25719E-07,1.11186E-06,15.94,-8.36,7.576,  
GRB220501A   ,1104842,3.2714E-07,2.87537E-07,3.6798E-07,5.8586E-07,5.40709E-07,6.30934E-07,8.047E-07,7.21214E-07,8.88207E-07,6.03648E-07,5.10122E-07,7.03629E-07,2.29237E-06,1.82972E-06,2.82842E-06,2.32137E-06,2.12175E-06,2.52321E-06,4.01009E-06,3.47036E-06,4.60908E-06,225.4,-1.208,224.2,  
GRB220430A   ,1104692,4.40495E-06,4.28293E-06,4.52847E-06,9.43542E-06,9.2758E-06,9.59492E-06,1.5868E-05,1.56921E-05,1.60439E-05,1.39105E-05,1.36792E-05,1.41423E-05,6.10156E-05,5.94691E-05,6.2588E-05,4.36185E-05,4.31381E-05,4.40992E-05,9.07238E-05,8.91746E-05,9.22914E-05,101.1,-6.532,94.604,  
GRB220427A   ,1104343,2.03772E-07,1.7407E-07,2.35014E-07,4.43072E-07,4.03937E-07,4.81719E-07,7.57799E-07,6.95703E-07,8.19528E-07,6.72921E-07,5.87413E-07,7.6249E-07,2.98857E-06,2.45886E-06,3.59736E-06,2.07756E-06,1.91997E-06,2.23581E-06,4.39323E-06,3.82828E-06,5.02347E-06,65.83,3.092,68.92,  
GRB220412B   ,1102329,8.34561E-09,6.66911E-09,1.01081E-08,1.85874E-08,1.62625E-08,2.08804E-08,3.26616E-08,2.78111E-08,3.74462E-08,2.96072E-08,2.30876E-08,3.66824E-08,1.34155E-07,9.51454E-08,1.82864E-07,8.92027E-08,7.70882E-08,1.01458E-07,1.93753E-07,1.50691E-07,2.45278E-07,0.188,-0.032,0.156,  
GRB220412A   ,1102281,8.67869E-08,7.02852E-08,1.03983E-07,1.54919E-07,1.35333E-07,1.74443E-07,2.12004E-07,1.75172E-07,2.4894E-07,1.58578E-07,1.18898E-07,2.02882E-07,6.00681E-07,4.10917E-07,8.41752E-07,6.12286E-07,5.23931E-07,7.02205E-07,1.05437E-06,8.26559E-07,1.32414E-06,52.18,-11.94,40.236,  
GRB220408A   ,1101675,3.12326E-07,2.82799E-07,3.42427E-07,3.90281E-07,3.63478E-07,4.17088E-07,3.54959E-07,3.13017E-07,3.97556E-07,1.92539E-07,1.59092E-07,2.29028E-07,5.62015E-07,4.41884E-07,7.01872E-07,1.25008E-06,1.15215E-06,1.34924E-06,1.61953E-06,1.44703E-06,1.80583E-06,18.8,-0.548,18.256,  
GRB220404A   ,1101133,3.65259E-08,2.657E-08,4.70318E-08,5.89809E-08,4.7774E-08,7.01684E-08,7.20081E-08,5.20237E-08,9.23042E-08,4.92835E-08,3.03348E-08,7.20662E-08,1.72871E-07,9.27131E-08,2.88936E-07,2.16796E-07,1.69345E-07,2.65547E-07,3.40386E-07,2.36533E-07,4.72663E-07,5.824,0.16,5.984,  
GRB220403B   ,1101053,7.71461E-07,7.27301E-07,8.16533E-07,1.09155E-06,1.05466E-06,1.1284E-06,1.14558E-06,1.09027E-06,1.20092E-06,6.96184E-07,6.42827E-07,7.51474E-07,2.21612E-06,1.99386E-06,2.45485E-06,3.70479E-06,3.57663E-06,3.83331E-06,5.22461E-06,4.95763E-06,5.50331E-06,41.82,-14.42,27.396,  
GRB220325A   ,1099310,7.64056E-08,6.61965E-08,8.68751E-08,1.00063E-07,9.05639E-08,1.09573E-07,9.60694E-08,8.11868E-08,1.11162E-07,5.44083E-08,4.21779E-08,6.80339E-08,1.64016E-07,1.18843E-07,2.19107E-07,3.26945E-07,2.91793E-07,3.62523E-07,4.36541E-07,3.72902E-07,5.06973E-07,3.988,-0.972,3.016,  
GRB220319A   ,1098132,5.91395E-08,4.8076E-08,7.04382E-08,7.31708E-08,6.23631E-08,8.38452E-08,6.57867E-08,4.81125E-08,8.42516E-08,3.5358E-08,2.21273E-08,5.16557E-08,1.02513E-07,5.73334E-08,1.66828E-07,2.33458E-07,1.92867E-07,2.75384E-07,3.00606E-07,2.3128E-07,3.84457E-07,6.928,-0.364,6.564,  
GRB220306B   ,1095288,6.41103E-08,5.14669E-08,7.74226E-08,1.3306E-07,1.17019E-07,1.48856E-07,2.15962E-07,1.85502E-07,2.46081E-07,1.84242E-07,1.45117E-07,2.26938E-07,7.87368E-07,5.66432E-07,1.06382E-06,5.97376E-07,5.22815E-07,6.72756E-07,1.20052E-06,9.55339E-07,1.49292E-06,13.47,-1.816,11.656,  
