GRBname , Trig_ID , 15_25kev , 15_25kev_low , 15_25kev_hi , 25_50kev , 25_50kev_low , 25_50kev_hi , 50_100kev , 50_100kev_low , 50_100kev_hi , 100_150kev , 100_150kev_low , 100_150kev_hi , 100_350kev , 100_350kev_low , 100_350kev_hi , 15_150kev , 15_150kev_low , 15_150kev_hi , 15_350kev , 15_350kev_low , 15_350kev_hi , Exposure_time , Spectrum_start , Spectrum_stop , comment
GRB220715B   ,1116441, 3.044178e-09 , 2.597168e-09 , 3.499452e-09 , 6.714443e-09 , 6.172058e-09 , 7.271098e-09 , 1.034713e-08 , 9.485058e-09 , 1.122380e-08 , 7.299280e-09 , 5.591007e-09 , 8.951174e-09 , 2.051918e-08 , 1.093050e-08 , 3.493172e-08 , 2.740501e-08 , 2.512696e-08 , 2.965856e-08 , 4.062001e-08 , 3.088161e-08 , 6.396759e-08 ,42.32,-0.148,42.172,  
GRB220714B   ,1116221, 9.850766e-09 , 9.174027e-09 , 1.029438e-08 , 1.391394e-08 , 1.344250e-08 , 1.445606e-08 , 1.485012e-08 , 1.436349e-08 , 1.556001e-08 , 9.451919e-09 , 8.111665e-09 , 9.567754e-09 , 3.174096e-08 , N/A , N/A , 4.803524e-08 , 4.598964e-08 , 4.918470e-08 , 6.778756e-08 , 6.028371e-08 , 7.132799e-08 ,93.55,-47.8,45.748,  
GRB220711B   ,1115766, 8.162064e-09 , 7.410031e-09 , 8.926270e-09 , 1.385671e-08 , 1.313409e-08 , 1.459117e-08 , 1.640401e-08 , 1.538013e-08 , 1.743773e-08 , 9.782053e-09 , 8.067148e-09 , 1.152551e-08 , 2.583866e-08 , 1.653789e-08 , 3.945572e-08 , 4.820477e-08 , 4.557745e-08 , 5.082297e-08 , 6.426137e-08 , 5.460595e-08 , 7.847115e-08 ,117.2,-37.496,79.688,  
GRB220708A   ,1115156, 7.364275e-09 , 5.488075e-09 , 9.179309e-09 , 1.119618e-08 , 8.768393e-09 , 1.374010e-08 , 6.791098e-09 , 3.492288e-09 , 1.012931e-08 , 1.087427e-09 , 8.192190e-11 , 4.695804e-09 , 1.280000e-09 , 8.294687e-11 , 1.195088e-08 , 2.643869e-08 , 2.095849e-08 , 3.310473e-08 , 2.663115e-08 , 2.096766e-08 , 3.903283e-08 ,4,-1.296,2.704,  
GRB220706A   ,1114937, 2.222082e-09 , 1.868056e-09 , 2.547534e-09 , 3.441438e-09 , 3.147096e-09 , 3.844944e-09 , 4.105348e-09 , N/A , N/A , 2.932176e-09 , N/A , N/A , 9.826300e-09 , 3.688247e-09 , 1.110990e-08 , 1.269200e-08 , 1.110580e-08 , 1.384969e-08 , 1.907524e-08 , 1.329536e-08 , 2.128531e-08 ,107.1,-71.04,36.036,  
GRB220701A   ,1114034, 1.913859e-09 , 9.754837e-10 , 2.945778e-09 , 6.070158e-09 , 4.702621e-09 , 7.524368e-09 , 7.354616e-09 , 5.082414e-09 , 9.508237e-09 , 1.876765e-09 , N/A , N/A , 2.280815e-09 , 3.824547e-10 , 9.548607e-09 , 1.721551e-08 , 1.313167e-08 , 2.167804e-08 , 1.761935e-08 , 1.317255e-08 , 2.534487e-08 ,14.84,-1.396,13.44,  
GRB220623A   ,1111672, 5.084872e-09 , N/A , N/A , 1.023953e-08 , N/A , N/A , 1.614433e-08 , N/A , N/A , 1.393478e-08 , 1.234923e-08 , 1.412050e-08 , 5.809517e-08 , 4.301105e-08 , 5.722555e-08 , 4.547786e-08 , N/A , N/A , 8.811706e-08 , 7.560665e-08 , 9.141553e-08 ,77.64,-3.844,73.792,  
GRB220618A   ,1110821, 2.419524e-09 , 1.865434e-09 , 2.995574e-09 , 6.032120e-09 , 5.356486e-09 , 6.729612e-09 , 7.678564e-09 , 6.640029e-09 , 8.725092e-09 , 3.062739e-09 , 1.860159e-09 , 4.452665e-09 , 4.600129e-09 , 2.306588e-09 , 9.129563e-09 , 1.919287e-08 , 1.696915e-08 , 2.145804e-08 , 2.073051e-08 , 1.758531e-08 , 2.548825e-08 ,148.4,-11.44,136.976,  
GRB220611A   ,1110090, 2.061532e-09 , 1.556001e-09 , 2.569922e-09 , 3.534109e-09 , 2.989028e-09 , 4.314495e-09 , 3.155295e-09 , 1.686398e-09 , 4.288743e-09 , 1.011696e-09 , 9.168536e-11 , 2.843086e-09 , 1.481256e-09 , 9.503859e-11 , 8.271419e-09 , 9.762476e-09 , 7.340912e-09 , 1.245174e-08 , 1.023340e-08 , 7.351907e-09 , 1.673478e-08 ,61,0.52,61.52,  
GRB220521A   ,1107466, 9.545089e-09 , 7.614300e-09 , 1.150482e-08 , 1.554963e-08 , 1.383566e-08 , 1.731091e-08 , 1.509037e-08 , 1.272946e-08 , 1.744135e-08 , 6.272346e-09 , 3.396331e-09 , 9.811152e-09 , 1.114372e-08 , 4.403824e-09 , 3.055836e-08 , 4.645688e-08 , 4.086298e-08 , 5.221557e-08 , 5.132867e-08 , 4.227757e-08 , 7.110170e-08 ,16.4,-0.228,16.168,  
GRB220518A   ,1107050, 5.661871e-09 , 4.326334e-09 , 7.010516e-09 , 1.063800e-08 , 9.054615e-09 , 1.230099e-08 , 1.230637e-08 , 9.995856e-09 , 1.461975e-08 , 6.024070e-09 , 2.897477e-09 , 9.642730e-09 , 1.168880e-08 , 3.754655e-09 , 3.232511e-08 , 3.462980e-08 , 2.921326e-08 , 4.010237e-08 , 4.029489e-08 , 3.053374e-08 , 6.202403e-08 ,15.94,-8.36,7.576,  
GRB220501A   ,1104842, 1.263107e-09 , 1.051550e-09 , 1.478019e-09 , 2.848459e-09 , 2.592448e-09 , 3.111788e-09 , 3.678155e-09 , 3.260318e-09 , 4.096000e-09 , 1.744094e-09 , 1.142010e-09 , 2.432204e-09 , 3.041795e-09 , 1.569134e-09 , 6.171347e-09 , 9.533887e-09 , 8.556773e-09 , 1.053635e-08 , 1.083153e-08 , 9.073608e-09 , 1.402588e-08 ,225.4,-1.208,224.2,  
GRB220430A   ,1104692, 4.213471e-08 , 4.037012e-08 , 4.392078e-08 , 9.320732e-08 , 9.161150e-08 , 9.480255e-08 , 1.587779e-07 , 1.567040e-07 , 1.612093e-07 , 1.365558e-07 , 1.340448e-07 , 1.390561e-07 , 5.547023e-07 , 5.117879e-07 , 6.018247e-07 , 4.306753e-07 , 4.258729e-07 , 4.354818e-07 , 8.488286e-07 , 8.060834e-07 , 8.946229e-07 ,101.1,-6.532,94.604,  
GRB220427A   ,1104343, 3.036687e-09 , 2.471952e-09 , 3.490760e-09 , 6.768618e-09 , 6.237205e-09 , 7.411225e-09 , 1.160593e-08 , 1.058912e-08 , 1.270954e-08 , 1.000760e-08 , 8.139355e-09 , 1.131540e-08 , 4.055459e-08 , 2.113927e-08 , 4.762665e-08 , 3.141883e-08 , 2.886290e-08 , 3.384932e-08 , 6.196551e-08 , 4.262261e-08 , 6.965624e-08 ,65.83,3.092,68.92,  
GRB220412B   ,1102329, 4.466733e-08 , N/A , N/A , 9.766973e-08 , 8.411046e-08 , 1.153374e-07 , 1.720997e-07 , 1.481290e-07 , 2.001059e-07 , 1.630685e-07 , 1.101590e-07 , 1.948947e-07 , 8.038592e-07 , 2.629662e-07 , 7.499633e-07 , 4.782996e-07 , 3.859224e-07 , 5.424753e-07 , 1.034023e-06 , 5.806307e-07 , 1.158671e-06 ,0.188,-0.032,0.156,  
GRB220412A   ,1102281, 1.447838e-09 , 1.077085e-09 , 1.826333e-09 , 3.353590e-09 , 2.854171e-09 , 3.882040e-09 , 4.138377e-09 , 3.289198e-09 , 4.955072e-09 , 1.715932e-09 , 6.986184e-10 , 3.038995e-09 , 2.691597e-09 , 8.165448e-10 , 8.772634e-09 , 1.065565e-08 , 8.816374e-09 , 1.258607e-08 , 1.163135e-08 , 9.002642e-09 , 1.778157e-08 ,52.18,-11.94,40.236,  
GRB220408A   ,1101675, 1.518763e-08 , 1.341066e-08 , 1.697579e-08 , 2.314195e-08 , 2.124467e-08 , 2.508188e-08 , 1.796884e-08 , 1.520407e-08 , 2.062766e-08 , 5.063957e-09 , 2.796662e-09 , 7.980866e-09 , 7.141674e-09 , 3.347110e-09 , 1.467135e-08 , 6.136207e-08 , 5.581745e-08 , 6.710425e-08 , 6.344100e-08 , 5.661350e-08 , 7.266244e-08 ,18.8,-0.548,18.256,  
GRB220404A   ,1101133, 5.265868e-09 , 3.100345e-09 , 7.399119e-09 , 1.208509e-08 , 9.275771e-09 , 1.509281e-08 , 1.196989e-08 , 7.406448e-09 , 1.618564e-08 , 3.118961e-09 , N/A , N/A , 3.966523e-09 , 4.016521e-10 , 3.270017e-08 , 3.243994e-08 , 2.437642e-08 , 4.199427e-08 , 3.328894e-08 , 2.442980e-08 , 6.231032e-08 ,5.824,0.16,5.984,  
GRB220403B   ,1101053, 1.755214e-08 , 1.625399e-08 , 1.887035e-08 , 2.673253e-08 , 2.569035e-08 , 2.778689e-08 , 2.754546e-08 , 2.616737e-08 , 2.892944e-08 , 1.441020e-08 , 1.215934e-08 , 1.672553e-08 , 3.409495e-08 , 2.358468e-08 , 5.029097e-08 , 8.624025e-08 , 8.254675e-08 , 8.991870e-08 , 1.059254e-07 , 9.462154e-08 , 1.225124e-07 ,41.82,-14.42,27.396,  
GRB220325A   ,1099310, 1.698478e-08 , 1.389761e-08 , 2.004472e-08 , 2.908707e-08 , 2.547475e-08 , 3.288895e-08 , 2.220292e-08 , 1.680699e-08 , 2.701469e-08 , 5.019379e-09 , 1.503592e-09 , 1.098955e-08 , 6.362825e-09 , 1.600442e-09 , 2.115437e-08 , 7.329089e-08 , 6.358724e-08 , 8.373557e-08 , 7.464488e-08 , 6.379696e-08 , 9.187133e-08 ,3.988,-0.972,3.016,  
GRB220319A   ,1098132, 8.515693e-09 , 6.767527e-09 , 1.017794e-08 , 1.070459e-08 , 9.256994e-09 , 1.229646e-08 , 9.386420e-09 , 6.485598e-09 , 1.210515e-08 , 3.343259e-09 , 2.311426e-09 , 7.644692e-09 , 1.019553e-08 , 3.103988e-09 , 2.596092e-08 , 3.308110e-08 , 2.678305e-08 , 3.978506e-08 , 3.850614e-08 , 2.636574e-08 , 6.263109e-08 ,6.928,-0.364,6.564,  
GRB220306B   ,1095288, 4.794353e-09 , N/A , N/A , 9.743164e-09 , 8.324727e-09 , 1.156858e-08 , 1.589571e-08 , 1.293868e-08 , 1.911613e-08 , 1.429783e-08 , N/A , N/A , 6.105061e-08 , N/A , N/A , 4.475175e-08 , 3.683155e-08 , 5.022963e-08 , 8.860740e-08 , 5.351802e-08 , 9.895779e-08 ,13.47,-1.816,11.656,  
GRB220305A   ,1095215, 1.003853e-08 , 8.041369e-09 , 1.189954e-08 , 1.365117e-08 , 1.111015e-08 , 1.579938e-08 , 1.430540e-08 , 1.247096e-08 , 1.590230e-08 , 9.167903e-09 , 7.443720e-09 , 1.074781e-08 , 3.361244e-08 , 2.768662e-08 , 3.878645e-08 , 4.722152e-08 , 4.027263e-08 , 5.297488e-08 , 7.164898e-08 , 5.828140e-08 , 8.409497e-08 ,32,-10.344,21.656,  
GRB220302A   ,1094950, 6.262533e-09 , 3.533540e-09 , 8.792857e-09 , 1.184132e-08 , 9.233578e-09 , 1.479211e-08 , 1.782666e-08 , 1.336903e-08 , 2.292081e-08 , 1.462918e-08 , 6.803619e-09 , 2.098988e-08 , 5.974341e-08 , 1.232821e-08 , 7.928481e-08 , 5.036398e-08 , 3.990525e-08 , 5.967879e-08 , 8.859108e-08 , 4.624236e-08 , 1.327639e-07 ,7.248,-1.864,5.384,  
GRB220218A   ,1093860, 2.088334e-09 , 1.858489e-09 , 2.304942e-09 , 3.426415e-09 , 3.200737e-09 , 3.661171e-09 , 4.025316e-09 , 3.677054e-09 , 4.376229e-09 , 2.484105e-09 , 1.876117e-09 , 2.815659e-09 , 7.120492e-09 , 3.754309e-09 , 9.704206e-09 , 1.202431e-08 , 1.110887e-08 , 1.293451e-08 , 1.666058e-08 , 1.314226e-08 , 2.068236e-08 ,341.2,25.404,366.604,  
GRB220118A   ,1093742, 1.967750e-08 , 1.683333e-08 , 2.255849e-08 , 3.779723e-08 , 3.457721e-08 , 4.109699e-08 , 4.614876e-08 , 4.137138e-08 , 5.098706e-08 , 2.451038e-08 , 1.751903e-08 , 3.192346e-08 , 5.129677e-08 , 2.770384e-08 , 9.994245e-08 , 1.281327e-07 , 1.168127e-07 , 1.394890e-07 , 1.549209e-07 , 1.288161e-07 , 2.033808e-07 ,13.44,-3.896,9.544,  
GRB220117B   ,1093611, 2.241145e-09 , 1.646418e-09 , 2.832109e-09 , 3.837868e-09 , 2.943066e-09 , 4.789167e-09 , 2.760324e-09 , 1.003783e-09 , 4.269628e-09 , 5.452805e-10 , 1.051235e-11 , 2.580477e-09 , 6.652885e-10 , 1.068809e-11 , 6.029621e-09 , 9.382963e-09 , 6.899061e-09 , 1.268323e-08 , 9.508675e-09 , 6.898744e-09 , 1.746104e-08 ,26.02,-2.728,23.288,  
GRB220117A   ,1093592, 5.720843e-09 , 4.721174e-09 , 6.720630e-09 , 9.808893e-09 , 8.586971e-09 , 1.107465e-08 , 9.878250e-09 , 8.036927e-09 , 1.165091e-08 , 4.118035e-09 , 1.986232e-09 , 6.807067e-09 , 7.183068e-09 , 2.515938e-09 , 2.181122e-08 , 2.952637e-08 , 2.546537e-08 , 3.373494e-08 , 3.259117e-08 , 2.625609e-08 , 4.738599e-08 ,53.36,14.792,68.152,  
GRB220101A   ,1091527, 7.430876e-09 , 7.038174e-09 , 7.818258e-09 , 1.633541e-08 , 1.597865e-08 , 1.669206e-08 , 2.742837e-08 , 2.684603e-08 , 2.801625e-08 , 2.311852e-08 , 2.224744e-08 , 2.398281e-08 , 9.055658e-08 , 7.830870e-08 , 1.020845e-07 , 7.431218e-08 , 7.301297e-08 , 7.561013e-08 , 1.417490e-07 , 1.295538e-07 , 1.549209e-07 ,317.2,-58.076,259.104,  
GRB211227A   ,1091101, 8.540828e-09 , 7.948954e-09 , 9.143237e-09 , 1.645660e-08 , 1.593346e-08 , 1.698361e-08 , 2.246105e-08 , 2.165310e-08 , 2.327555e-08 , 1.497028e-08 , 1.356688e-08 , 1.638363e-08 , 4.270119e-08 , 3.283901e-08 , 5.619659e-08 , 6.242952e-08 , 6.036567e-08 , 6.448668e-08 , 9.016127e-08 , 8.010322e-08 , 1.037170e-07 ,127,0.04,127.064,  
