GRBname , Trig_ID , 15_25kev , 15_25kev_low , 15_25kev_hi , 25_50kev , 25_50kev_low , 25_50kev_hi , 50_100kev , 50_100kev_low , 50_100kev_hi , 100_150kev , 100_150kev_low , 100_150kev_hi , 100_350kev , 100_350kev_low , 100_350kev_hi , 15_150kev , 15_150kev_low , 15_150kev_hi , 15_350kev , 15_350kev_low , 15_350kev_hi , Exposure_time , Spectrum_start , Spectrum_stop , comment
GRB220715B   ,1116441,3.23586E-09,2.86115E-09,3.62385E-09,6.48784E-09,6.03059E-09,6.94241E-09,1.01275E-08,9.32782E-09,1.09247E-08,8.38513E-09,7.37038E-09,9.45301E-09,3.48402E-08,2.91213E-08,4.13276E-08,2.82364E-08,2.62646E-08,3.02211E-08,5.46903E-08,4.83827E-08,6.16297E-08,42.32,-0.148,42.172,  
GRB220714B   ,1116221,9.73218E-09,9.18354E-09,1.02937E-08,1.3947E-08,1.35092E-08,1.43843E-08,1.48532E-08,1.41482E-08,1.556E-08,9.13146E-09,8.42714E-09,9.86439E-09,2.93346E-08,2.63536E-08,3.25559E-08,4.7664E-08,4.61042E-08,4.923E-08,6.78672E-08,6.43828E-08,7.1527E-08,93.55,-47.8,45.748,  
GRB220711B   ,1115766,8.51021E-09,7.87916E-09,9.15609E-09,1.35313E-08,1.29232E-08,1.41381E-08,1.62312E-08,1.52521E-08,1.72096E-08,1.09567E-08,9.92819E-09,1.20282E-08,3.79883E-08,3.32874E-08,4.31241E-08,4.92289E-08,4.69256E-08,5.15419E-08,7.62606E-08,7.07522E-08,8.20918E-08,117.2,-37.496,79.688,  
GRB220708A   ,1115156,7.9908E-09,6.39705E-09,9.61767E-09,9.46717E-09,7.82276E-09,1.10803E-08,8.09487E-09,5.57802E-09,1.07783E-08,4.17956E-09,2.41029E-09,6.43502E-09,1.17706E-08,5.99681E-09,2.03353E-08,2.97317E-08,2.37991E-08,3.59162E-08,3.73216E-08,2.77664E-08,4.9014E-08,4,-1.296,2.704,  
GRB220706A   ,1114937,2.20806E-09,1.9016E-09,2.52429E-09,3.46913E-09,3.16454E-09,3.77407E-09,4.10488E-09,3.51868E-09,4.69505E-09,2.74145E-09,2.15755E-09,3.39032E-09,9.42041E-09,6.88652E-09,1.2536E-08,1.25236E-08,1.1197E-08,1.38759E-08,1.92026E-08,1.60846E-08,2.2794E-08,107.1,-71.04,36.036,  
GRB220701A   ,1114034,2.69563E-09,1.88956E-09,3.56607E-09,4.89215E-09,3.88392E-09,5.8921E-09,6.82229E-09,5.14221E-09,8.50257E-09,5.17833E-09,3.41138E-09,7.20178E-09,1.9871E-08,1.1494E-08,3.14275E-08,1.9588E-08,1.54234E-08,2.38095E-08,3.42894E-08,2.40741E-08,4.69364E-08,14.84,-1.396,13.44,  
GRB220623A   ,1111672,5.08874E-09,4.72933E-09,5.45808E-09,1.02989E-08,9.8803E-09,1.07152E-08,1.62469E-08,1.55346E-08,1.69567E-08,1.35613E-08,1.2602E-08,1.45486E-08,5.67754E-08,5.1147E-08,6.2842E-08,4.5196E-08,4.3455E-08,4.69429E-08,8.84097E-08,8.23759E-08,9.48113E-08,77.64,-3.844,73.792,  
GRB220618A   ,1110821,3.04944E-09,2.5828E-09,3.53533E-09,5.30677E-09,4.77233E-09,5.83862E-09,7.05537E-09,6.18515E-09,7.92209E-09,5.16036E-09,4.23019E-09,6.15432E-09,1.91646E-08,1.47089E-08,2.43916E-08,2.05717E-08,1.84336E-08,2.27222E-08,3.45772E-08,2.9284E-08,4.04483E-08,148.4,-11.44,136.976,  
GRB220611A   ,1110090,2.15343E-09,1.68551E-09,2.63403E-09,3.1553E-09,2.64466E-09,3.66463E-09,3.44699E-09,2.54021E-09,4.38632E-09,2.16227E-09,1.37506E-09,3.11824E-09,7.05846E-09,3.98547E-09,1.14233E-08,1.09177E-08,8.78921E-09,1.31205E-08,1.58136E-08,1.15771E-08,2.10805E-08,61,0.52,61.52,  
GRB220521A   ,1107466,1.05533E-08,9.00202E-09,1.21714E-08,1.46198E-08,1.32553E-08,1.59849E-08,1.49748E-08,1.28295E-08,1.71329E-08,8.92709E-09,7.01068E-09,1.10517E-08,2.79924E-08,2.04791E-08,3.71801E-08,4.9075E-08,4.41144E-08,5.40916E-08,6.81397E-08,5.84185E-08,7.9046E-08,16.4,-0.228,16.168,  
