GRBname , Trig_ID , alpha , alpha_low , alpha_hi , Epeak , Epeak_low , Epeak_hi , norm , norm_low , norm_hi , chi2 , dof , reduced_chi2 , null_prob , enorm , Exposure_time , Spectrum_start , Spectrum_stop , comment
GRB220715B   ,1116441,-1.00952, -1.404480e+00 , -5.080120e-01 ,144.007, 8.644710e+01 , 0.000000e+00 ,0.00432107, 2.798760e-03 , 7.581180e-03 , 71.67 , 56 , 1.28789 ,0.0774,50,42.32,-0.148,42.172,  
GRB220714B   ,1116221,-1.90907, -1.975150e+00 , -1.843060e+00 ,9999.28, 1.000010e-02 , 0.000000e+00 ,0.00518578, 3.756970e-03 , 6.287320e-03 , 45.51 , 56 , 0.798246 ,0.841,50,93.55,-47.8,45.748,  
GRB220711B   ,1115766,-1.48826, -1.770260e+00 , -1.161520e+00 ,100.165, 6.803490e+01 , 0.000000e+00 ,0.00715027, 5.209480e-03 , 1.042560e-02 , 51.60 , 56 , 0.939474 ,0.642,50,117.2,-37.496,79.688,  
GRB220708A   ,1115156,-0.740987, -2.078520e+00 , 1.573420e+00 ,32.1304, 9.976440e+00 , 4.377140e+01 ,0.0255415, 0.000000e+00 , 7.092050e-01 , 61.89 , 56 , 1.13211 ,0.274,50,4,-1.296,2.704,  
GRB220706A   ,1114937,-1.75687, -1.932900e+00 , -1.450350e+00 ,9999.35, 1.000030e-02 , 0.000000e+00 ,0.0013592, 4.431780e-04 , 2.565280e-03 , 41.57 , 56 , 0.729298 ,0.925,50,107.1,-71.04,36.036,  
GRB220701A   ,1114034,0.690416, -9.396510e-01 , 3.208830e+00 ,58.4797, 4.661310e+01 , 9.355090e+01 ,0.02855, 0.000000e+00 , 5.326840e-01 , 58.06 , 56 , 1.12316 ,0.399,50,14.84,-1.396,13.44,  
GRB220623A   ,1111672,-1.34232, -1.407530e+00 , -1.269890e+00 ,9999.36, 0.000000e+00 , 0.000000e+00 ,0.00462836, 4.475190e-03 , 5.513290e-03 , 54.83 , 56 , 0.961053 ,0.519,50,77.64,-3.844,73.792,  
GRB220618A   ,1110821,-0.258573, -9.748960e-01 , 5.911550e-01 ,65.8238, 5.561600e+01 , 8.756360e+01 ,0.0101878, 4.549510e-03 , 2.646730e-02 , 48.55 , 56 , 1.05088 ,0.75,50,148.4,-11.44,136.976,  
GRB220611A   ,1110090,-0.977163, -2.143720e+00 , 9.463810e-01 ,44.4829, 1.045100e+01 , 0.000000e+00 ,0.00415486, 0.000000e+00 , 7.295310e-02 , 56.58 , 56 , 1.0193 ,0.453,50,61,0.52,61.52,  
GRB220521A   ,1107466,-1.30387, -2.041020e+00 , -4.198230e-01 ,48.8438, 8.202780e+00 , 0.000000e+00 ,0.0119117, 4.965590e-03 , 3.425270e-02 , 51.96 , 56 , 0.951754 ,0.628,50,16.4,-0.228,16.168,  
GRB220518A   ,1107050,-1.09449, -1.846450e+00 , -6.890160e-02 ,68.2604, 4.306730e+01 , 0.000000e+00 ,0.00843094, 3.591900e-03 , 2.942450e-02 , 51.07 , 56 , 0.924211 ,0.662,50,15.94,-8.36,7.576,  
GRB220501A   ,1104842,-0.637833, -1.212880e+00 , 2.214910e-02 ,72.3096, 5.874090e+01 , 1.158580e+02 ,0.00321493, 1.644610e-03 , 6.955900e-03 , 44.64 , 56 , 0.918246 ,0.863,50,225.4,-1.208,224.2,  
GRB220430A   ,1104692,-1.16069, -1.203940e+00 , -1.073970e+00 ,635.164, 3.596110e+02 , 7.719510e+03 ,0.0465144, 4.348650e-02 , 5.000490e-02 , 19.41 , 56 , 0.39614 ,1,50,101.1,-6.532,94.604,  
