GRBname , Trig_ID , alpha , alpha_low , alpha_hi , Epeak , Epeak_low , Epeak_hi , norm , norm_low , norm_hi , chi2 , dof , reduced_chi2 , null_prob , enorm , Exposure_time , Spectrum_start , Spectrum_stop , comment
GRB220715B   ,1116441,-1.35758,-1.46979,-1.24462, N/A , N/A , N/A ,0.00289559,0.00271173,0.00307937, 73.41 , 57 , 1.28789 ,0.0706,50,42.32,-0.148,42.172,  
GRB220714B   ,1116221,-1.90924,-1.97526,-1.84379, N/A , N/A , N/A ,0.00518304,0.00501087,0.00535434, 45.50 , 57 , 0.798246 ,0.863,50,93.55,-47.8,45.748,  
GRB220711B   ,1115766,-1.73758,-1.81791,-1.65789, N/A , N/A , N/A ,0.00533038,0.00508933,0.00557052, 53.55 , 57 , 0.939474 ,0.605,50,117.2,-37.496,79.688,  
GRB220708A   ,1115156,-2.22601,-2.56463,-1.92732, N/A , N/A , N/A ,0.00314958,0.00239347,0.00388471, 64.53 , 57 , 1.13211 ,0.23,50,4,-1.296,2.704,  
GRB220706A   ,1114937,-1.75727,-1.93298,-1.58676, N/A , N/A , N/A ,0.00135756,0.0012175,0.00149482, 41.57 , 57 , 0.729298 ,0.938,50,107.1,-71.04,36.036,  
GRB220701A   ,1114034,-1.52013,-1.82773,-1.21663, N/A , N/A , N/A ,0.00207128,0.00165494,0.0024855, 64.02 , 57 , 1.12316 ,0.244,50,14.84,-1.396,13.44,  
GRB220623A   ,1111672,-1.34235,-1.41051,-1.2741, N/A , N/A , N/A ,0.00461898,0.00445799,0.00477995, 54.78 , 57 , 0.961053 ,0.559,50,77.64,-3.844,73.792,  
GRB220618A   ,1110821,-1.58917,-1.74494,-1.43541, N/A , N/A , N/A ,0.00219642,0.00198004,0.00241206, 59.90 , 57 , 1.05088 ,0.371,50,148.4,-11.44,136.976,  
GRB220611A   ,1110090,-1.87251,-2.16928,-1.59504, N/A , N/A , N/A ,0.00118741,0.000948663,0.00141974, 58.10 , 57 , 1.0193 ,0.435,50,61,0.52,61.52,  
GRB220521A   ,1107466,-1.96545,-2.14545,-1.79139, N/A , N/A , N/A ,0.00532893,0.00476623,0.00588297, 54.25 , 57 , 0.951754 ,0.579,50,16.4,-0.228,16.168,  
GRB220518A   ,1107050,-1.71667,-1.92925,-1.51042, N/A , N/A , N/A ,0.00391826,0.00339825,0.00443117, 52.68 , 57 , 0.924211 ,0.638,50,15.94,-8.36,7.576,  
